Date,Away,Away_pts,Home,Home_pts,Away_1st_half,Away_2nd_half,Away_OT,Home_1st_half,Home_2nd_half,Home_OT,Spread,Over_under
2014-11-14,VMI,66,The Citadel,65,32,34,,38,27,,-5.5,
2014-11-14,Yale,85,Quinnipiac,88,40,27,,38,29,,1.5,
2014-11-14,Presbyterian,44,Duke,113,19,25,,57,56,,39.0,147.5
2014-11-14,William & Mary,45,Florida,68,18,27,,42,26,,18.0,139.5
2014-11-14,Boise State,81,San Diego,75,35,46,,33,42,,-2.5,
2014-11-14,Virginia Commonwealth,85,Tennessee,69,48,37,,30,39,,-8.0,143.0
2014-11-14,Western Carolina,56,Mississippi State,66,30,26,,31,35,,14.0,143.0
2014-11-14,Belmont,70,Wright State,73,40,30,,37,36,,-1.5,
2014-11-14,Charleston Southern,66,Mississippi,65,29,28,,17,40,,13.5,154.5
2014-11-14,Cleveland State,73,Iona,78,32,41,,39,39,,6.5,
2014-11-14,Georgia,73,Georgia Tech,80,32,41,,42,38,,1.0,
2014-11-14,Jacksonville State,55,Marshall,74,24,31,,35,39,,4.5,
2014-11-14,Long Beach State,90,BYU,95,47,43,,46,49,,13.5,
2014-11-14,Minnesota,68,Louisville,81,30,38,,43,38,,9.5,139.5
2014-11-14,Miss Valley State,65,Indiana,116,31,34,,54,62,,26.5,152.5
2014-11-14,Monmouth,54,West Virginia,64,26,28,,21,43,,16.0,
2014-11-14,Niagara,45,Pittsburgh,78,22,23,,46,32,,25.5,
2014-11-14,North Florida,56,South Carolina,81,27,29,,48,33,,12.5,146.0
2014-11-14,Northern Arizona,60,Xavier,93,22,38,,48,45,,15.5,
2014-11-14,Rider,58,Princeton,64,25,33,,28,36,,8.5,
2014-11-14,Samford,40,Purdue,80,16,24,,43,37,,23.5,
2014-11-14,Siena,87,Massachusetts,95,41,46,,36,59,,5.5,
2014-11-14,Virginia,79,James Madison,51,51,28,,33,18,,-16.5,
2014-11-14,Cornell,68,George Mason,60,34,34,,31,29,,12.5,
2014-11-14,South Dakota State,67,Buffalo,69,28,39,,27,42,,3.5,
2014-11-14,Air Force,78,Army,84,38,40,,48,36,,5.0,
2014-11-14,College of Charleston,75,Furman,40,32,43,,21,19,,-6.0,
2014-11-14,Drexel,48,Colorado,65,29,19,,33,32,,14.5,134.0
2014-11-14,Florida Atlantic,58,Elon,64,37,21,,32,32,,1.5,
2014-11-14,Grand Canyon,45,Kentucky,85,16,29,,43,42,,30.5,151.5
2014-11-14,Houston,77,Murray State,74,38,39,,42,32,,12.5,
2014-11-14,Indiana State,79,IUPUI,66,32,32,,34,30,,-10.0,
2014-11-14,Mount St. Mary's,55,Arizona,78,25,30,,40,38,,28.5,143.5
2014-11-14,North Carolina Central,60,North Carolina,76,19,41,,28,48,,17.0,147.0
2014-11-14,Northwestern State,68,Texas A&M,109,22,46,,55,54,,11.5,150.5
2014-11-14,Oakland,82,Iowa State,93,38,44,,45,48,,20.0,
2014-11-14,Pacific,73,Western Illinois,71,36,31,,31,36,,5.0,
2014-11-14,Saint Peter's,58,Brown,70,22,36,,32,38,,4.0,
2014-11-14,Santa Barbara,59,Kansas,69,23,36,,31,38,,16.5,
2014-11-14,Texas-Arlington,86,Bradley,75,48,38,,29,46,,4.5,
2014-11-14,Eastern Illinois,53,Missouri State,64,29,24,,27,37,,13.5,
2014-11-14,East Tennessee State,76,Valparaiso,90,34,42,,42,48,,9.0,
2014-11-14,North Dakota State,50,Texas,85,18,32,,38,47,,18.5,
2014-11-14,Georgia Southern,71,Illinois,80,31,40,,31,49,,23.0,
2014-11-14,Michigan State,64,Navy,59,36,28,,29,30,,-17.5,131.0
2014-11-14,New Mexico State,54,Wichita State,71,21,33,,38,33,,12.5,
2014-11-14,Northern Kentucky,31,Wisconsin,62,15,16,,28,34,,28.5,137.5
2014-11-14,SE Missouri State,66,Loyola Marymount,76,34,32,,40,36,,6.0,
2014-11-14,Sacramento State,58,Gonzaga,104,26,32,,60,44,,23.0,
2014-11-14,Southern Utah,68,Kansas State,98,36,32,,44,54,,26.0,
2014-11-14,Towson,54,Alabama,82,30,24,,39,43,,14.5,132.0
2014-11-14,UMKC,69,Missouri,61,33,36,,24,37,,14.0,148.0
2014-11-14,Weber State,61,Utah State,72,47,14,,29,43,,1.5,
2014-11-14,Tennessee-Martin,63,Marquette,79,30,33,,38,41,,18.5,
2014-11-14,Alcorn State,57,California,91,32,25,,50,41,,22.5,139.0
2014-11-14,Ball State,72,Utah,90,30,42,,35,55,,26.5,141.0
2014-11-14,CS Fullerton,72,Santa Clara,89,22,50,,40,49,,7.5,
2014-11-14,CS Northridge,58,San Diego State,79,21,37,,41,38,,15.5,
2014-11-14,Chicago State,50,Arizona State,86,28,22,,40,46,,22.5,148.5
2014-11-14,Fresno State,74,Pepperdine,89,35,39,,41,48,,-1.0,
2014-11-14,Idaho State,55,New Mexico,79,20,35,,42,37,,19.0,
2014-11-14,Illinois-Chicago,71,DePaul,72,30,41,,46,26,,11.0,143.5
2014-11-14,Rice,54,Oregon State,67,22,32,,32,35,,6.5,134.0
2014-11-14,South Carolina State,59,Washington,77,23,36,,39,38,,23.0,148.0
2014-11-14,Washington State,52,Texas El Paso,65,26,26,,32,33,,10.0,
2014-11-14,Wisc-Milwaukee,73,Auburn,83,32,41,,29,54,,11.5,150.5
2014-11-14,Morehead State,59,UNLV,60,36,23,,31,29,,5.5,
2014-11-14,Coppin State,65,Oregon,107,27,38,,60,47,,20.0,159.5
2014-11-14,Montana State,78,UCLA,113,32,46,,60,53,,25.0,148.0
2014-11-14,Wofford,59,Stanford,74,27,32,,36,38,,12.5,131.5
2014-11-15,Gardner-Webb,82,LSU,93,43,39,,42,51,,15.0,144.0
2014-11-15,Manhattan,66,Florida State,81,31,35,,37,44,,11.0,
2014-11-15,Appalachian State,47,Ohio,73,27,20,,35,38,,12.0,
2014-11-15,North Dakota,52,Northern Iowa,64,29,23,,31,33,,22.5,
2014-11-15,Bowling Green,77,Drake,58,47,30,,31,27,,2.5,
2014-11-15,Austin Peay,70,Western Kentucky,77,35,35,,42,35,,13.5,
2014-11-15,Air Force,68,The Citadel,55,29,39,,24,31,,-9.0,
2014-11-15,SE Missouri State,56,San Diego,67,28,28,,31,36,,6.5,
2014-11-15,Cal Poly,49,Nevada,65,27,22,,26,39,,2.5,
2014-11-15,Dartmouth,57,St. Bonaventure,77,27,30,,28,49,,6.0,
2014-11-15,Kent State,69,Youngstown State,61,35,34,,33,28,,-4.5,
2014-11-15,UNC Wilmington,56,Old Dominion,76,32,24,,28,48,,13.5,
2014-11-15,Boise State,77,Loyola Marymount,69,31,46,,35,34,,-6.5,
2014-11-15,Fairfield,59,Duke,109,30,29,,44,65,,32.5,
2014-11-15,Louisiana-Monroe,74,UAB,65,33,41,,25,40,,6.5,
