date,away,away_score,home,home_score,away_1st_half,away_2nd_half,away_OT,home_1st_half,home_2nd_half,home_OT,spread,over_under
2017-11-10,Detroit,79,Virginia Tech,111,42,37,,52,59,,18.5,159.0
2017-11-10,Texas A&M,88,West Virginia,65,45,43,,38,27,,7.0,144.0
2017-11-10,Fairleigh Dickinson,68,Seton Hall,90,28,40,,47,43,,24.5,149.5
2017-11-10,Memphis,70,Alabama,82,36,34,,38,44,,4.0,136.5
2017-11-10,Ball State,77,Dayton,78,33,44,,36,42,,6.0,155.5
2017-11-10,Bowling Green,78,Drexel,69,32,46,,42,27,,5.0,155.5
2017-11-10,Cal Poly,62,Stanford,78,24,38,,38,40,,18.5,140.5
2017-11-10,Cornell,45,Syracuse,77,22,23,,33,44,,14.5,141.0
2017-11-10,Delaware,76,Richmond,63,49,27,,20,43,,9.5,141.0
2017-11-10,East Tennessee State,63,Northern Kentucky,81,32,31,,41,40,,5.5,150.0
2017-11-10,Elon,68,Duke,97,25,43,,45,52,,19.5,156.0
2017-11-10,IPFW,71,Oakland,85,26,45,,48,37,,7.5,167.0
2017-11-10,Indiana State,90,Indiana,69,54,36,,33,36,,13.5,145.0
2017-11-10,Miami-Ohio,55,Fordham,54,21,34,,25,29,,9.0,132.0
2017-11-10,Morehead State,49,Xavier,101,24,25,,62,39,,27.5,148.5
2017-11-10,Northern Iowa,69,North Carolina,86,31,38,,45,41,,15.0,141.0
2017-11-10,Siena,60,College of Charleston,68,25,28,,28,25,,18.5,137.5
2017-11-10,South Carolina,73,Wofford,52,33,40,,24,28,,-6.0,144.5
2017-11-10,Towson,54,Old Dominion,57,29,25,,28,29,,5.0,142.5
2017-11-10,UNC Greensboro,48,Virginia,60,20,28,,29,31,,16.5,134.5
2017-11-10,Utah Valley,63,Kentucky,73,34,29,,25,48,,20.0,155.5
2017-11-10,VMI,67,North Carolina State,102,34,33,,56,46,,26.0,153.0
2017-11-10,Western Carolina,57,Clemson,85,22,35,,44,41,,20.0,141.0
2017-11-10,Georgia Southern,85,Wake Forest,83,40,45,,46,37,,10.5,162.5
2017-11-10,Arkansas State,63,Evansville,77,27,36,,38,39,,4.0,148.0
2017-11-10,Eastern Kentucky,73,Rice,72,31,42,,36,36,,-5.0,153.0
2017-11-10,Florida Atlantic,59,South Florida,60,29,30,,33,27,,4.0,141.0
2017-11-10,Louisiana-Lafayette,76,Mississippi,94,42,34,,40,54,,9.0,167.0
2017-11-10,Mercer,79,Central Florida,88,47,32,,46,42,,8.0,134.5
2017-11-10,Missouri State,85,Western Kentucky,80,45,40,,34,46,,1.5,141.5
2017-11-10,Nebraska-Omaha,80,Montana State,89,25,43,,32,36,,8.5,167.5
2017-11-10,Niagara,77,St. Bonaventure,75,34,43,,25,50,,8.5,150.5
2017-11-10,North Florida,66,Michigan State,98,26,40,,52,46,,31.5,150.5
2017-11-10,Northern Arizona,67,Arizona,101,36,31,,49,52,,34.5,147.5
2017-11-10,Northern Colorado,51,Colorado,66,24,27,,35,31,,10.5,149.5
2017-11-10,Samford,56,Arkansas,95,19,37,,47,48,,10.5,160.0
2017-11-10,Southern Illinois-Edwardsville,74,Purdue,105,32,42,,52,53,,30.0,152.5
2017-11-10,Tennessee-Martin,91,Marshall,102,46,37,,31,52,,9.0,169.5
2017-11-10,Wright State,80,Loyola-Chicago,84,41,39,,45,39,,12.5,139.5
2017-11-10,Columbia,60,Villanova,75,23,37,,32,43,,25.5,151.0
2017-11-10,Pepperdine,47,Oklahoma State,78,21,26,,34,44,,15.5,153.5
2017-11-10,Chattanooga,65,Wyoming,74,29,36,,40,34,,14.5,146.0
2017-11-10,Iowa State,59,Missouri,74,25,34,,39,35,,6.0,152.5
2017-11-10,Louisiana-Monroe,73,TCU,83,35,38,,38,45,,24.5,148.0
2017-11-10,Pittsburgh,62,Navy,71,38,24,,39,32,,5.0,133.5
2017-11-10,South Alabama,50,Texas Tech,75,28,22,,36,39,,26.0,142.0
2017-11-10,Tennessee State,56,Kansas,92,27,29,,56,36,,27.0,145.5
2017-11-10,Utah State,59,Weber State,65,24,35,,27,38,,,156.5
2017-11-10,Yale,76,Creighton,92,35,41,,47,45,,8.0,153.5
2017-11-10,UC Irvine,54,South Dakota State,65,31,23,,31,34,,7.0,133.0
2017-11-10,Austin Peay,54,Vanderbilt,73,28,26,,41,32,,25.5,148.5
2017-11-10,Sacramento State,61,Colorado State,72,32,29,,34,38,,17.0,143.0
2017-11-10,Troy,80,North Dakota,83,33,47,,30,53,,-7.5,154.0
2017-11-10,Belmont,82,Washington,86,43,39,,35,51,,-2.0,156.5
2017-11-10,Cal State-Fullerton,42,USC,84,15,27,,42,42,,26.5,152.5
2017-11-10,Idaho State,74,Arizona State,94,33,41,,51,43,,20.5,157.0
2017-11-10,Idaho,64,Nevada,88,30,34,,43,45,,10.0,149.5
2017-11-10,Southern Utah,82,Oregon State,99,28,54,,51,48,,23.5,156.0
2017-11-10,Long Beach State,83,San Francisco,71,37,46,,34,37,,15.0,146.5
2017-11-10,Georgia Tech,60,UCLA,63,32,28,,35,28,,9.5,144.0
2017-11-11,Canisius,75,Buffalo,80,39,36,,42,38,,10.0,156.0
2017-11-11,Pennsylvania,72,Fairfield,80,33,39,,36,44,,-3.5,142.0
2017-11-11,Dartmouth,77,Quinnipiac,78,33,44,,42,36,,1.5,146.5
2017-11-11,IUPUI,53,Bradley,68,19,34,,28,40,,9.0,144.0
2017-11-11,Saint Peter's,40,La Salle,61,19,21,,30,31,,9.0,131.5
2017-11-11,North Dakota State,66,UC-Santa Barbara,85,31,35,,40,45,,2.0,138.5
2017-11-11,Notre Dame,72,DePaul,58,29,43,,25,33,,-9.0,149.0
2017-11-11,Cleveland State,57,Akron,67,30,27,,22,45,,6.0,139.5
2017-11-11,Saint Joseph's,87,Toledo,98,36,51,,45,53,,,144.0
2017-11-11,Loyola Marymount,80,Texas-Arlington,85,41,39,,36,49,,14.0,149.0
2017-11-11,Eastern Illinois,68,Nebraska,72,33,35,,34,38,,11.0,146.5
2017-11-11,Kent State,111,Youngstown State,78,46,65,,41,37,,-5.0,167.5
2017-11-11,Florida A&M,66,UNLV,108,27,39,,56,52,,23.0,144.0
2017-11-11,Portland State,80,Portland,75,39,41,,43,32,,-1.5,158.5
2017-11-12,Monmouth,65,Seton Hall,75,32,33,,48,27,,16.5,149.5
2017-11-12,George Mason,61,Louisville,72,27,34,,24,48,,19.0,146.0
2017-11-12,UMass,67,Harvard,70,25,33,,29,29,,8.0,141.5
2017-11-12,Nebraska-Omaha,89,Oklahoma,108,38,51,,52,56,,23.5,156.5
2017-11-12,Vermont,69,Kentucky,73,24,45,,36,37,,12.5,146.0
2017-11-12,Cal Poly,82,California,85,30,52,,44,41,,8.5,134.5
2017-11-12,Louisiana-Monroe,65,Southern Methodist,83,31,34,,35,48,,17.0,140.0
2017-11-12,Southern Utah,69,Boise State,90,29,40,,42,48,,21.5,162.5
2017-11-12,Texas State,57,Air Force,65,24,33,,33,32,,3.0,135.0
2017-11-12,San Diego,81,San Jose State,64,51,30,,29,35,,-2.5,138.5
2017-11-12,Bucknell,73,Arkansas,101,34,39,,56,45,,9.5,158.0
2017-11-12,Princeton,75,Butler,85,31,44,,41,44,,9.0,142.5
2017-11-12,Tennessee-Martin,74,Illinois,77,29,45,,44,33,,20.5,154.5
2017-11-12,UC Irvine,83,Denver,69,35,48,,25,44,,5.0,138.0
2017-11-12,UMBC,78,Arizona,103,47,31,,56,47,,25.5,154.0
2017-11-12,Yale,61,Wisconsin,89,22,39,,43,46,,15.0,138.5
2017-11-12,The Citadel,93,Virginia Tech,132,47,46,,66,66,,26.0,187.5
2017-11-12,Arkansas-Pine Bluff,57,Troy,81,21,36,,31,50,,18.0,145.5
2017-11-12,Eastern Washington,69,Washington,79,34,35,,40,39,,9.5,160.0
2017-11-12,Howard,77,Indiana,86,27,50,,37,49,,24.5,144.5
2017-11-12,North Dakota,78,Hawaii,81,31,47,,46,35,,5.0,154.5
2017-11-12,Pacific,80,Stanford,89,31,49,,53,36,,18.5,140.5
2017-11-13,Jacksonville State,94,Richmond,61,50,44,,29,32,,3.0,137.5
2017-11-13,Eastern Kentucky,75,Mississippi,85,34,41,,40,45,,17.0,159.5
2017-11-13,Minnesota,86,Providence,74,36,50,,39,35,,2.0,145.5
2017-11-13,Austin Peay,49,Virginia,93,22,27,,51,42,,26.5,128.5
2017-11-13,Brown,79,Quinnipiac,72,44,35,,34,38,,-2.0,156.0
2017-11-13,Central Michigan,65,Michigan,72,31,34,,32,40,,22.0,159.0
2017-11-13,Gardner-Webb,74,Florida,116,32,42,,55,61,,25.0,149.5
2017-11-13,La Salle,75,Pennsylvania,71,30,20,,26,24,,-2.5,143.5
2017-11-13,Montana,83,Pittsburgh,78,37,36,,35,38,,2.5,141.0
2017-11-13,Old Dominion,69,James Madison,53,30,39,,23,30,,-5.0,128.0
2017-11-13,South Dakota,88,Bowling Green,79,34,54,,35,44,,-2.5,155.5
2017-11-13,Western Carolina,51,Cincinnati,102,29,22,,46,56,,29.0,140.0
2017-11-13,Southeast Missouri State,95,Louisiana Tech,96,39,40,,39,40,,17.5,149.0
2017-11-13,Vanderbilt,60,Belmont,69,27,33,,32,37,,-3.5,149.0
2017-11-13,Charlotte,65,Oklahoma State,83,26,39,,47,36,,14.5,160.0
2017-11-13,Chattanooga,47,UAB,89,21,26,,43,46,,11.5,138.5
2017-11-13,Delaware State,57,DePaul,81,21,36,,35,46,,22.5,139.0
2017-11-13,Middle Tennessee,72,Murray State,67,42,30,,44,23,,-3.5,146.0
2017-11-13,North Texas,67,Nebraska,86,30,37,,52,34,,15.0,146.5
